date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:44:57	2387/2387	---MCZ	200	added ('OK')	application/javascript	etag:%22ede8e6859f02bf56bcd4908f1e21f300%22	https://fazar.bitbucket.io/documentation/js/layout.js	C:/My%20Web%20Sites/ark/fazar.bitbucket.io/documentation/js/layout.js	(from https://fazar.bitbucket.io/documentation/index.html)
12:44:58	105356/105356	---MCZ	200	added ('OK')	text/css	etag:W/%225b993e1df812cb265a32bcee07f90858%22	https://maxcdn.bootstrapcdn.com/bootstrap/4.0.0-alpha.5/css/bootstrap.min.css	C:/My%20Web%20Sites/ark/maxcdn.bootstrapcdn.com/bootstrap/4.0.0-alpha.5/css/bootstrap.min.css	(from https://fazar.bitbucket.io/index.html)
12:44:58	17316/17316	---MCZ	200	added ('OK')	text/css	date:Wed,%2022%20Jun%202016%2020:04:01%20GMT	https://cdnjs.cloudflare.com/ajax/libs/foundicons/3.0.0/foundation-icons.min.css	C:/My%20Web%20Sites/ark/cdnjs.cloudflare.com/ajax/libs/foundicons/3.0.0/foundation-icons.min.css	(from https://fazar.bitbucket.io/index.html)
12:44:59	57620/57620	UR-M--	200	added ('Partial%20Content')	application/font-woff	etag:%22ede8e6859f02bf56bcd4908f1e21f300%22	https://fazar.bitbucket.io/styles/fonts/material-icons/MaterialIcons-Regular.woff	C:/My%20Web%20Sites/ark/fazar.bitbucket.io/styles/fonts/material-icons/MaterialIcons-Regular.woff	(from https://fazar.bitbucket.io/styles/ncms.min.css)
12:45:00	201/201	---M--	200	added ('OK')	image/png	etag:%22ede8e6859f02bf56bcd4908f1e21f300%22	https://fazar.bitbucket.io/styles/lib/datatables.net-dt/images/sort_both.png	C:/My%20Web%20Sites/ark/fazar.bitbucket.io/styles/lib/datatables.net-dt/images/sort_both.png	(from https://fazar.bitbucket.io/styles/lib/datatables.net-dt/css/jquery.dataTables.min.css)
12:45:00	160/160	---M--	200	added ('OK')	image/png	etag:%22ede8e6859f02bf56bcd4908f1e21f300%22	https://fazar.bitbucket.io/styles/lib/datatables.net-dt/images/sort_asc.png	C:/My%20Web%20Sites/ark/fazar.bitbucket.io/styles/lib/datatables.net-dt/images/sort_asc.png	(from https://fazar.bitbucket.io/styles/lib/datatables.net-dt/css/jquery.dataTables.min.css)
12:45:01	158/158	---M--	200	added ('OK')	image/png	etag:%22ede8e6859f02bf56bcd4908f1e21f300%22	https://fazar.bitbucket.io/styles/lib/datatables.net-dt/images/sort_desc.png	C:/My%20Web%20Sites/ark/fazar.bitbucket.io/styles/lib/datatables.net-dt/images/sort_desc.png	(from https://fazar.bitbucket.io/styles/lib/datatables.net-dt/css/jquery.dataTables.min.css)
12:45:01	148/148	---M--	200	added ('OK')	image/png	etag:%22ede8e6859f02bf56bcd4908f1e21f300%22	https://fazar.bitbucket.io/styles/lib/datatables.net-dt/images/sort_asc_disabled.png	C:/My%20Web%20Sites/ark/fazar.bitbucket.io/styles/lib/datatables.net-dt/images/sort_asc_disabled.png	(from https://fazar.bitbucket.io/styles/lib/datatables.net-dt/css/jquery.dataTables.min.css)
12:45:02	146/146	---M--	200	added ('OK')	image/png	etag:%22ede8e6859f02bf56bcd4908f1e21f300%22	https://fazar.bitbucket.io/styles/lib/datatables.net-dt/images/sort_desc_disabled.png	C:/My%20Web%20Sites/ark/fazar.bitbucket.io/styles/lib/datatables.net-dt/images/sort_desc_disabled.png	(from https://fazar.bitbucket.io/styles/lib/datatables.net-dt/css/jquery.dataTables.min.css)
12:45:02	1897/1897	---M--	200	added ('OK')	image/png	etag:%22ede8e6859f02bf56bcd4908f1e21f300%22	https://fazar.bitbucket.io/styles/images/colorpicker_background.png	C:/My%20Web%20Sites/ark/fazar.bitbucket.io/styles/images/colorpicker_background.png	(from https://fazar.bitbucket.io/styles/lib/colorpicker.css)
12:45:02	10355/10355	---M--	200	added ('OK')	image/png	etag:%22ede8e6859f02bf56bcd4908f1e21f300%22	https://fazar.bitbucket.io/styles/images/colorpicker_overlay.png	C:/My%20Web%20Sites/ark/fazar.bitbucket.io/styles/images/colorpicker_overlay.png	(from https://fazar.bitbucket.io/styles/lib/colorpicker.css)
12:45:03	78/78	---M--	200	added ('OK')	image/gif	etag:%22ede8e6859f02bf56bcd4908f1e21f300%22	https://fazar.bitbucket.io/styles/images/colorpicker_select.gif	C:/My%20Web%20Sites/ark/fazar.bitbucket.io/styles/images/colorpicker_select.gif	(from https://fazar.bitbucket.io/styles/lib/colorpicker.css)
